feature,importance
Delivery_person_Age,0.84947133
Travel_Time_Min,0.09511154
Travel_Time_Min_scaled,0.029711094
Distance_Traffic_Interaction,0.010708742
Prep_Efficiency,0.005529374
Prep_Efficiency_log,0.0053218124
Order_Complexity,0.0014592843
Order_Minute,0.0010092315
Order_Minute_scaled,0.0009975042
Order_Complexity_scaled,0.0004970029
Distance_Traffic_Interaction_scaled,0.00017408123
Multiple_Deliveries_Impact,9.035098e-06
Efficiency_Distance_Interaction,0.0
Prep_Efficiency_scaled,0.0
Time_Efficiency_Ratio_log,0.0
Travel_Speed_KPH_log,0.0
Efficiency_Distance_Interaction_scaled,0.0
Multiple_Deliveries_Impact_scaled,0.0
Lat_Diff_scaled,0.0
Lat_Diff_KM,0.0
